name,is_gadget
Máy sản xuất vi khuẩn ngẫu nhiên,1
Máy tua bước nhảy thời gian,1
Máy xây dinh thự nước,1
Máy điều chỉnh thuộc tính,1
Máy điều chỉnh thời gian,1
Máy điều khiển người thật,1
Máy đặt hàng,1
Máy đặt hàng tương lai,1
Máy ảnh ma thuật,1
Máy ảnh tạo mô hình,1
Máy ảnh tạo mốt,1
Mèo dụ khách,1
Mìn chập cheng,1
Mũ chim,1
Mũ đá cuội,1
Mũi tên tình ái,1
Mũi đánh hơi siêu nhạy,1
Nam châm N-S,1
Ngôi nhà tình ái,1
Ngôi nhà ốc sên,1
Ngôi sao anh hùng,1
Ngôi sao điểm mù,1
Người cỏ gây cười,1
Ngựa tre,1
Nhà tập thể dục,1
Nhật ký dự định,1
Nón động vật,1
Nước hoa kỷ niệm,1
Nước hoa tâm hồn,1
Nồi sinh vật hóa,1
Pháo đài vô địch,1
Phù hiệu bốn mùa,1
Phấn tập bơi,1
Phụ gia chế tác nước,1
"Quạt siêu tốc ""Thần phong""",1
"Quả trứng ""thần tượng mẹ hiền""",1
Quả trứng thiên tài,1
Radar tránh mặt,1
Roboko,1
Robot biến hình,1
Robot người lùn,1
Robot nhân bản,1
Robot phóng viên,1
Siêu trộm Deluxe,1
Siêu đũa,1
Sách ghép hình,1
Sách hướng dẫn thông tin con người,1
Sóng điện thành thật,1
Súng gây sốc,1
Súng không khí,1
Sư phụ đũa,1
Sổ dự định,1
Sợi dây có phép,1
Sợi dây hoán đổi,1
Taro trung thực,1
Tay bắt cá,1
Thiên sứ dẫn đường,1
Thiết bị tàu DX,1
"Thuốc ""chậm chạp""",1
"Thuốc ""nhanh nhẹn""",1
Thuốc biến thành tê tê,1
Thuốc chuyển thể,1
Thuốc không thể ghét được,1
Thuốc khắc phục điểm yếu,1
Thuốc nói dóc,1
Thuốc nói sự thật,1
Thuốc tăng trưởng - Phiên bản S,1
"Thuốc viên ""trốn chạy kiểu động vật""",1
Thuốc viên như ý,1
Thuốc xịt kiểm tra dấu chân,1
Thuốc đông cứng giọng nói,1
Thìa nếm thử hương vị,1
Thắt lưng thời gian,1
Thắt lưng đai đen,1
Thẻ bài hạnh phúc,1
Thẻ tình bạn,1
Thẻ tích điểm xui xẻo,1
Thẻ ưu tiên,1
Thỏi son nịnh hót/sinh sự,1
Tia ghép hình,1
Tinh dầu Eskimo,1
Trang phục Kaitou,1
Trà mạo hiểm,1
Tàu cứu nạn,1
Tàu ngầm giấy,1
Tên Lửa Ước Nguyện Thất Tịch,1
Túi bác sĩ,1
Túi bùa đa mục đích,1
Túi Không Gian Bốn Chiều,1
Túi tìm đồ,1
Tờ rơi trả đũa,1
Tủ quan sát động vật,1
Tủ điện thoại nếu như,1
Virus đua đòi,1
Vòng xuyên thấu,1
Vô tuyến thời gian,1
Vỏ sò lưu trữ,1
Vợt giao hàng,1
Xe vượt địa hình Buggy,1
Áo choàng tàng hình,1
Áo khoác phóng đại,1
"Ô ""mở ra là mưa""",1
Ô tình cảm,1
Ông bụt Robot,1
Đèn Pin Phóng To,1
Đèn Pin Thu Nhỏ,1
Đèn pin tân trang,1
Đèn pin đông cứng,1
Đèn thích nghi,1
Đèn ánh trăng,1
Đóa Hoa Pinocchio,1
Đôi môi giải trừ,1
Đĩa tạo ảo ảnh,1
Đười ươi tiền thưởng,1
Đường hầm Gulliver,1
Đại bác bất cứ đâu,1
Đại bác không khí,1
Đạo diễn Burger,1
Đạo quân đồ chơi,1
Đất nặn cơ bắp,1
Đất sét tâm hồn,1
Đầu máy công nhân,1
Đề can đáy lòng,1
Đồng hồ 100 lần khổ,1
Đồng hồ điên khùng,1
Ống sáo ngược đời,1
Album gia đình,0
Ban nhạc nổi tiếng,0
Bom nguyên tử,0
Bánh mì thịt bò,0
Bánh mì Pháp,0
Bánh quy ngon cực,0
Bánh kem,0
Bìa truyện tranh,0
Bình bông,0
Bình phung thuốc diệt muỗi,0
Bình khí nén,0
Bình xịt khử khuẩn,0
Bóng bay,0
Bóng đèn,0
Bùa cầu bình an,0
Búa,0
Búa gỗ,0
Búp bê đồ chơi,0
Bút vẽ tranh ảnh,0
Bật lửa,0
Bồn tắm,0
Vỏ ốc,0
Bộ dụng cụ,0
Nước ngọt,0
Bộ đồ chơi,0
Đồ nghề làm bánh,0
Đồ nghề của thám tử,0
Đồ nghề xem bói,0
Quần áo,0
Camera chụp lấy liền,0
Chim mô hình,0
Mũ lưỡi trai,0
Nhẫn cưới,0
Vòng trang sức,0
Chong chóng trực thăng,0
Cối xoay gió,0
Chó dữ,0
Chữ A,0
Cà rốt,0
Cào cào,0
Bươm bướm,0
Cửa tự động,0
Cửa gỗ,0
Cây gậy đuổi chó,0
Cây gậy gỗ,0
Cây gậy,0
Cây gậy ven đường,0
Cây thông,0
Cây chuối,0
Công tơ đo nước,0
Công tắc đèn,0
Căn nhà tù,0
Cỏ dại,0
Cổng chào,0
Máy xúc,0
Cửa hàng tạp hoá,0
Dao làm bếp,0
Dầu máy,0
Dụng cụ làm bếp,0
Giày thể thao,0
Giấy in và mực,0
Máy photocopy,0
Giếng nước bỏ hoang,0
Găng tay,0
Gương,0
Gậy của người già,0
Gậy sắt,0
Gậy tre,0
Huy hiệu câu lạp bộ,0
Huy hiệu,0
Huân chương lao động,0
Khí ga,0
Hạt dẻ,0
Hạt dẻ cây thông,0
Hạt đậu đỏ,0
Hố sâu,0
Hồ câu cá,0
Hộ chiếu,0
Hộp quà,0
Hộp kem trộn,0
Đồ chơi mô hình,0
Keo dán sắt,0
Keo dán,0
Khinh khí cầu,0
Khăn lau mặt,0
Khăn tắm,0
Khăn trải bàn,0
Khăn,0
Áo choàng,0
Viên kim cương,0
Thanh kiếm,0
Kèn đồng,0
Kéo,0
Cây kéo,0
Kẹo,0
Kẹo ngọt,0
Kẹo cao su,0
Lỗ đen vũ trụ,0
Micro ca nhạc,0
Micro,0
Mây,0
La bàn,0
Máy bay,0
Máy cưa,0
Máy kiểm tra sức khoẻ,0
Máy gặt lúa,0
Máy tính,0
Máy mai,0
Máy gia công,0
Cỗ máy,0
Máy kéo,0
Tua bin gió,0
Toà lâu đài,0
Máy điều hoà,0
Máy lạnh,0
Bộ điều khiển TV,0
Điện thoại,0
Điện thoại cảm ứng,0
Máy ảnh kỹ thuật số,0
Máy ảnh chụp lấy liền,0
Máy ảnh,0
Mèo con,0
Mìn,0
Mũ cối,0
Mũ,0
Mũi tên,0
Lỗ mũi,0
Nam châm,0
Ngôi nhà gỗ,0
Ngôi nhà nhỏ,0
Ngôi sao điện ảnh,0
Ngôi sao lấp lánh,0
Khí cười,0
Ngựa,0
Máy chạy bộ,0
Nhật ký,0
Nón,0
Nước hoa,0
Nước ngọt có ga,0
Nồi lẩu,0
Pháo đài,0
Phù hiệu,0
Phao,0
Phụ gia thực phẩm,0
Quạt gió,0
Trứng gà,0
Trứng ốp la,0
Radar,0
Người máy,0
Robot,0
Trí tuệ nhân tạo,0
Siêu nhân,0
Máy tính bảng,0
Kẻ trộm,0
Đôi đũa,0
Truyện tranh,0
Sách hướng dẫn du lịch,0
Sóng điện thoại,0
Súng lục,0
Súng AK,0
Súng máy,0
Sổ tay,0
Sợi dây thừng,0
Sợi dây câu cá,0
Bài Taro,0
Tay,0
Thiên thần,0
Tàu ngầm hạt nhân,0
Thuốc chữa bệnh,0
Thuốc độc,0
Thuốc bổ,0
Thuốc kê đơn,0
Thuốc ngủ,0
Thuốc,0
Thuốc chống say xe,0
Thuốc giải độc,0
Sữa dinh dưỡng,0
Sữa bột,0
Thuốc tăng trưởng,0
Vắc xin,0
Thuốc cảm,0
Thìa,0
Thắt lưng,0
Thắc lưng thời trang,0
Bài tiến lên,0
Thẻ đoàn,0
Thẻ tích điểm,0
Thẻ VIP,0
Son môi,0
Tia laze,0
Tinh dầu bạc hà,0
Trang phục,0
Trà đào,0
Tàu thuỷ,0
Tàu ngầm,0
Tên lửa,0
Tên lửa hạt nhân,0
Túi xách tay,0
Bóp tiền,0
Túi xách,0
Tờ rơi quảng cáo,0
Tủ đồ,0
Tủ điện thoại,0
Virus,0
Vòng,0
Vô tuyến,0
Vỏ sò,0
Vợt bắt cá,0
Xe địa hình,0
Áo khoác,0
Áo mưa,0
Ô che nắng,0
Ô che mưa,0
Ô dù,0
Ông bụt,0
Đèn pin,0
Đèn led,0
Đèn chiếu sáng,0
Đèn ngủ,0
Đèn đường,0
Bông hoa,0
Đôi môi,0
Đĩa nhạc,0
Con Đười ươi,0
Đường hầm,0
Đại bác,0
Súng cối,0
Đạo diễn,0
Quân đội,0
Đất nặng,0
Đất sét,0
Công nhân,0
Đồng hồ điện tử,0
Đồng hồ,0
Ống sáo,0
Đàn piano,0
